Model,Position,Top-1,MRR,NDCG@5,n_eval
Random Baseline,Early (<20%),0.004431314623338257,0.02813885988596019,0.011891482404376657,2031
Random Baseline,Middle (20-80%),0.005736981465136805,0.029442748215117488,0.015106362063271548,2266
Random Baseline,Late (>80%),0.0059193488716241215,0.03173586563511753,0.016459025884377296,2703
TF-IDF + Cosine,Early (<20%),0.09798129000492369,0.20468481637399558,0.2033893782296811,2031
TF-IDF + Cosine,Middle (20-80%),0.09223300970873786,0.20065351699800626,0.2005780488596312,2266
TF-IDF + Cosine,Late (>80%),0.09581945985941547,0.20859466458675893,0.2106689647206224,2703
BM25 (Okapi),Early (<20%),0.046282619399310686,0.12997738369740486,0.12048217495630853,2031
BM25 (Okapi),Middle (20-80%),0.048984995586937335,0.1286525297160922,0.1197666082843298,2266
BM25 (Okapi),Late (>80%),0.04587495375508694,0.12777200095448152,0.1187371594872737,2703
SBERT MiniLM-L6,Early (<20%),0.025603151157065487,0.07652620644634615,0.06331681215967673,2031
SBERT MiniLM-L6,Middle (20-80%),0.003089143865842895,0.024520520535437598,0.011660867774092748,2266
SBERT MiniLM-L6,Late (>80%),0.003699593044765076,0.024168363341338397,0.009995689792492985,2703
SBERT MPNet (sem-only),Early (<20%),0.028064992614475627,0.08426162710476846,0.05863148541021034,2031
SBERT MPNet (sem-only),Middle (20-80%),0.013680494263018535,0.04772029796259614,0.029454601575425298,2266
SBERT MPNet (sem-only),Late (>80%),0.008879023307436182,0.03874873815083039,0.02241359725936018,2703
Exact Structured,Early (<20%),0.06302314130969966,0.13624590913294463,0.12487952124050308,2031
Exact Structured,Middle (20-80%),0.05383936451897617,0.1254618696079641,0.11261177721402409,2266
Exact Structured,Late (>80%),0.05512393636699963,0.12744369117039872,0.11410314139486996,2703
Hybrid (Ours),Early (<20%),0.14771048744460857,0.2732339533543188,0.27294164104535995,2031
Hybrid (Ours),Middle (20-80%),0.10988526037069726,0.23112752599518174,0.2268831959479989,2266
Hybrid (Ours),Late (>80%),0.10839807621161672,0.23066549125688696,0.22468721937435424,2703
