rfp_id,full_spec,level1_spec,level2_spec,level3_spec
RFP_0001,FRLS 1.1kV 4C 0.75 sqmm Cu PVC armoured cable as per IEC 60502-1,FRLS 1.1kV 4C 0.75 sqmm cable,1.1kV 0.75 sqmm cable,0.75 sqmm cable
RFP_0002,1.1kV 8C 6 sqmm Cu PVC armoured cable as per BS 5308,1.1kV 8C 6 sqmm Cu cable,1.1kV 8C cable,1.1kV cable
RFP_0003,1.1kV 1C 150 sqmm Cu PVC armoured cable as per IS 1554,1.1kV Cu PVC armoured cable,Cu PVC cable,Cu cable
RFP_0004,FRLS 3.3kV 1C 50 sqmm Cu EPR armoured cable as per IS 7098-1,1C Cu EPR armoured cable,Cu EPR cable,EPR cable
RFP_0005,LSZH 500V 5C 2.5 sqmm Cu PVC armoured cable as per IEC 60502-1,500V 2.5 sqmm Cu PVC cable,2.5 sqmm Cu cable,2.5 sqmm cable
RFP_0006,ZH 132kV 1C 800 sqmm Al XLPE armoured cable as per IEC 60840,ZH 132kV Al XLPE cable,ZH 132kV cable,ZH cable
RFP_0007,1.1kV 5C 2.5 sqmm Cu PVC armoured cable as per BS 5308,5C 2.5 sqmm PVC armoured cable,5C PVC cable,PVC cable
RFP_0008,500V 5C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,500V 5C Cu cable as per IEC 60502-1,500V 5C cable,500V cable
RFP_0009,LSZH 300V 12C 1.5 sqmm Cu PVC armoured cable as per IEC 60502-1,LSZH 12C armoured cable as per IEC 60502-1,armoured cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0010,FR 500V 4C 4 sqmm Cu PVC armoured cable as per IS 694,FR Cu PVC armoured cable,Cu armoured cable,Cu cable
RFP_0011,FR 300V 24C 2.5 sqmm Cu XLPE armoured cable as per BS 5308-1,FR 300V XLPE cable as per BS 5308-1,300V XLPE cable,XLPE cable
RFP_0012,FR 500V 30C 2.5 sqmm Cu PVC armoured cable as per IS 1554,Cu PVC armoured cable as per IS 1554,Cu cable as per IS 1554,Cu cable
RFP_0013,LSZH 1.1kV 20C 1.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,20C Cu XLPE cable as per IEC 60502-1,20C Cu cable,20C cable
RFP_0014,FR 440V 10C 6 sqmm Cu XLPE armoured cable as per IS 694,10C 6 sqmm armoured cable as per IS 694,6 sqmm cable as per IS 694,6 sqmm cable
RFP_0015,FRLS 1.1kV 19C 1 sqmm Cu PVC armoured cable as per IS 1554,FRLS 1.1kV Cu PVC cable,1.1kV Cu cable,1.1kV cable
RFP_0016,ZH 1.1kV 4C 25 sqmm Al PVC armoured cable as per BS 5467,ZH 1.1kV 4C PVC cable,1.1kV 4C cable,1.1kV cable
RFP_0017,FRLS 11kV 1C 300 sqmm Al EPR armoured cable as per IEC 60502-1,FRLS 300 sqmm Al armoured cable,300 sqmm Al cable,Al cable
RFP_0018,FRLS 1.1kV 10C 2.5 sqmm Cu XLPE armoured cable as per IS 1554,FRLS 1.1kV Cu cable as per IS 1554,1.1kV Cu cable,Cu cable
RFP_0019,Fire Survival 1.1kV 4C 4 sqmm Cu Mineral (MI) armoured cable as per IEC 60331,Fire Survival 4C 4 sqmm Mineral (MI) cable as per IEC 60331,4C Mineral (MI) cable as per IEC 60331,4C Mineral (MI) cable
