rfp_id,sku_id,category,dominant_feature,explanation_text
RFP_0001,SKU_269,partially matching,Standards score,"The pair is a partial match because the SHAP contributions are mixed: some signals pull the score up while others hold it near the baseline. Baseline=0.669; Structured SHAP=-0.012, Semantic SHAP=-0.007, Standards SHAP=+0.060; Final=0.710."
RFP_0002,SKU_277,partially matching,Standards score,"The pair is a partial match because the SHAP contributions are mixed: some signals pull the score up while others hold it near the baseline. Baseline=0.669; Structured SHAP=+0.072, Semantic SHAP=-0.008, Standards SHAP=-0.140; Final=0.593."
RFP_0003,SKU_270,matching,Structured score,"The pair is a strong match because the SHAP attribution stays above the baseline and the positive contributions reinforce the final score. Baseline=0.669; Structured SHAP=+0.072, Semantic SHAP=-0.034, Standards SHAP=+0.060; Final=0.767."
RFP_0004,SKU_125,matching,Standards score,"The pair is a strong match because the SHAP attribution stays above the baseline and the positive contributions reinforce the final score. Baseline=0.669; Structured SHAP=+0.005, Semantic SHAP=+0.013, Standards SHAP=+0.060; Final=0.747."
RFP_0005,SKU_206,partially matching,Standards score,"The pair is a partial match because the SHAP contributions are mixed: some signals pull the score up while others hold it near the baseline. Baseline=0.669; Structured SHAP=-0.012, Semantic SHAP=-0.018, Standards SHAP=+0.060; Final=0.700."
RFP_0006,SKU_111,partially matching,Semantic score,"The pair is a partial match because the SHAP contributions are mixed: some signals pull the score up while others hold it near the baseline. Baseline=0.669; Structured SHAP=+0.064, Semantic SHAP=-0.080, Standards SHAP=+0.060; Final=0.713."
RFP_0007,SKU_246,partially matching,Standards score,"The pair is a partial match because the SHAP contributions are mixed: some signals pull the score up while others hold it near the baseline. Baseline=0.669; Structured SHAP=+0.113, Semantic SHAP=+0.013, Standards SHAP=-0.140; Final=0.655."
RFP_0008,SKU_257,matching,Standards score,"The pair is a strong match because the SHAP attribution stays above the baseline and the positive contributions reinforce the final score. Baseline=0.669; Structured SHAP=+0.005, Semantic SHAP=-0.002, Standards SHAP=+0.060; Final=0.732."
RFP_0009,SKU_163,matching,Standards score,"The pair is a strong match because the SHAP attribution stays above the baseline and the positive contributions reinforce the final score. Baseline=0.669; Structured SHAP=+0.055, Semantic SHAP=-0.041, Standards SHAP=+0.060; Final=0.743."
RFP_0010,SKU_233,matching,Standards score,"The pair is a strong match because the SHAP attribution stays above the baseline and the positive contributions reinforce the final score. Baseline=0.669; Structured SHAP=+0.055, Semantic SHAP=+0.008, Standards SHAP=+0.060; Final=0.792."
