rfp_id,sku_id,category,final_score,structured_score,semantic_score,standards_score
RFP_0001,SKU_269,partially matching,0.7098403175671895,0.6666666666666666,0.588356614112854,1.0
RFP_0002,SKU_277,partially matching,0.5930261115233104,0.8333333333333334,0.5878648161888123,0.0
RFP_0003,SKU_270,matching,0.7668242375055949,0.8333333333333334,0.5005252361297607,1.0
RFP_0004,SKU_125,matching,0.7467240989208221,0.7,0.6557469964027405,1.0
RFP_0005,SKU_206,partially matching,0.6997900982697804,0.6666666666666666,0.5548558831214905,1.0
RFP_0006,SKU_111,partially matching,0.7130126682194797,0.8181818181818182,0.34640586376190186,1.0
RFP_0007,SKU_246,partially matching,0.655409946044286,0.9166666666666666,0.6569220423698425,0.0
RFP_0008,SKU_257,matching,0.7321325421333313,0.7,0.607108473777771,1.0
RFP_0009,SKU_163,matching,0.74303297996521,0.8,0.4767765998840332,1.0
RFP_0010,SKU_233,matching,0.7924606204032898,0.8,0.6415354013442993,1.0
RFP_0011,SKU_265,partially matching,0.562261289358139,0.8,0.5408709645271301,0.0
RFP_0012,SKU_291,matching,0.7932322561740874,0.8,0.6441075205802917,1.0
RFP_0013,SKU_188,partially matching,0.7143089830875398,0.75,0.4643632769584656,1.0
RFP_0014,SKU_278,partially matching,0.6602936267852784,0.5,0.7009787559509277,1.0
RFP_0015,SKU_114,matching,0.8000034689903259,0.9,0.5000115633010864,1.0
RFP_0016,SKU_202,partially matching,0.5111442630107587,0.6153846153846154,0.6781731843948364,0.0
RFP_0017,SKU_217,partially matching,0.6574297587076823,0.5833333333333334,0.5525436401367188,1.0
RFP_0018,SKU_248,matching,0.751534354686737,0.7,0.6717811822891235,1.0
RFP_0019,SKU_107,partially matching,0.5483014751564372,0.2727272727272727,0.7064594626426697,1.0
RFP_0020,SKU_205,matching,0.7999017384919254,0.8181818181818182,0.6360360980033875,1.0
RFP_0021,SKU_220,matching,0.8355334726246921,0.8181818181818182,0.7548085451126099,1.0
RFP_0022,SKU_152,partially matching,0.6467366125848558,0.8888888888888888,0.6743072271347046,0.0
RFP_0023,SKU_152,partially matching,0.6073084672292073,0.4166666666666667,0.6632504463195801,1.0
RFP_0024,SKU_105,partially matching,0.5571504950523376,0.75,0.6071683168411255,0.0
RFP_0025,SKU_188,partially matching,0.6587023754914602,0.9166666666666666,0.6678968071937561,0.0
RFP_0026,SKU_265,matching,0.817564110322432,0.9090909090909091,0.5433955192565918,1.0
RFP_0027,SKU_176,partially matching,0.5836867581714283,0.7272727272727273,0.7335013151168823,0.0
RFP_0028,SKU_210,partially matching,0.6245224714279174,0.5,0.5817415714263916,1.0
RFP_0029,SKU_286,matching,0.7557767998088489,0.7272727272727273,0.6404681205749512,1.0
RFP_0030,SKU_166,matching,0.732357735525478,0.7272727272727273,0.5624045729637146,1.0
RFP_0031,SKU_152,matching,0.8157403436574069,0.8181818181818182,0.6888314485549927,1.0
RFP_0032,SKU_146,partially matching,0.5472336292266845,0.7,0.6574454307556152,0.0
RFP_0033,SKU_299,partially matching,0.688431300719579,0.6666666666666666,0.5169932246208191,1.0
RFP_0034,SKU_219,partially matching,0.5889651646980872,0.7692307692307693,0.6811659336090088,0.0
RFP_0035,SKU_176,matching,0.7681082895168891,0.7692307692307693,0.6116430163383484,1.0
RFP_0036,SKU_272,partially matching,0.557681597362865,0.7272727272727273,0.6468174457550049,0.0
RFP_0037,SKU_230,matching,0.7289742310841878,0.6666666666666666,0.6521363258361816,1.0
RFP_0038,SKU_152,matching,0.8201794366041819,0.8333333333333334,0.6783758997917175,1.0
RFP_0039,SKU_176,partially matching,0.6861778855323792,0.6,0.6205929517745972,1.0
RFP_0040,SKU_185,partially matching,0.649167788028717,0.5,0.6638926267623901,1.0
RFP_0041,SKU_250,partially matching,0.7006889251562265,0.6923076923076923,0.5151169300079346,1.0
RFP_0042,SKU_193,partially matching,0.6261569597504355,0.5454545454545454,0.5114322900772095,1.0
RFP_0043,SKU_230,partially matching,0.6849410878287421,0.5555555555555556,0.6905443668365479,1.0
RFP_0044,SKU_272,matching,0.8448145671324296,0.9090909090909091,0.634230375289917,1.0
RFP_0045,SKU_254,partially matching,0.6601620376110078,0.5,0.7005401253700256,1.0
RFP_0046,SKU_276,matching,0.7713848352432251,0.75,0.654616117477417,1.0
RFP_0047,SKU_249,partially matching,0.6689921953461386,0.5454545454545454,0.6542164087295532,1.0
RFP_0048,SKU_233,partially matching,0.6937118887901306,0.6,0.645706295967102,1.0
RFP_0049,SKU_281,partially matching,0.6245877065441825,0.5454545454545454,0.506201446056366,1.0
RFP_0050,SKU_248,partially matching,0.6950238148371379,0.5833333333333334,0.6778571605682373,1.0
RFP_0051,SKU_294,partially matching,0.6169483501177568,0.46153846153846156,0.6205970644950867,1.0
RFP_0052,SKU_152,partially matching,0.5332760830720266,0.6666666666666666,0.6664758324623108,0.0
RFP_0053,SKU_272,matching,0.7264075994491577,0.7,0.5880253314971924,1.0
RFP_0054,SKU_154,partially matching,0.6867685079574586,0.6,0.6225616931915283,1.0
RFP_0055,SKU_160,partially matching,0.5323123653729757,0.6666666666666666,0.6632634401321411,0.0
RFP_0056,SKU_276,partially matching,0.6410962522029877,0.5,0.6369875073432922,1.0
RFP_0057,SKU_252,partially matching,0.6815918127695719,0.5833333333333334,0.6330838203430176,1.0
