theme,source_title,rows,metric_columns
long_doc_bias,Exp 5 - Long document bias,7,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
long_doc_bias,Exp 5 - Per-RFP metadata,7000,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
long_doc_bias,Exp 5 - Position analysis,21,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
numeric_sensitivity,Exp 1 - Numeric sensitivity,7,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
numeric_sensitivity,Exp 1 - Numeric sensitivity summary,6,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
partial_specs,Exp 6 - Completeness metrics,7,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
partial_specs,Exp 6 - Partial specs all levels,7000,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
partial_specs,Exp 6 - Single token analysis,8,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
positional_bias,Exp 7 - Field detection,6,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
positional_bias,Exp 7 - IR metrics by position,7,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
positional_bias,Exp 7 - Per-RFP stability,42000,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
positional_bias,Exp 7 - Score stability,6,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
unit_variation,Exp 2 - Per-transform UES,6,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
unit_variation,Exp 2 - UES summary,6,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
unit_variation,Exp 2 - Unit variation,7,"Top-1 (Clean), Top-1 (Pert), Δ Top-1, Top-5 (Clean), Top-5 (Pert), Δ Top-5, MRR (Clean), MRR (Pert)"
