rfp_id,item_id,item_name,item_category,voltage_rating,conductor_material,core_count,size_sqmm,insulation_type,sheath_type,temperature_rating,fire_resistance,armouring,standards_required,mandatory_specs,tolerance_allowed,spec_text_raw
RFP_0001,ITEM_0001,FRLS 1.1kV PVC Copper 4C 0.75sqmm Armoured Instrumentation Cable,Instrumentation Cable,1.1kV,Copper,4.0,0.75,PVC,HDPE,70C,FRLS,Yes,IEC 60502-1,conductor_material;fire_resistance;standards_required;voltage_rating,True,FRLS 1.1kV 4C 0.75 sqmm Cu PVC armoured cable as per IEC 60502-1
RFP_0002,ITEM_0002,1.1kV PVC Copper 8C 6sqmm Armoured Control Cable,Control Cable,1.1kV,Copper,8.0,6.0,PVC,HDPE,70C,Non-FR,Yes,BS 5308,size_sqmm;temperature_rating;voltage_rating,False,1.1kV 8C 6 sqmm Cu PVC armoured cable as per BS 5308
RFP_0003,ITEM_0003,1.1kV PVC Copper 1C 150sqmm Armoured Power Cable,Power Cable,1.1kV,Copper,1.0,150.0,PVC,LSZH,70C,Non-FR,Yes,IS 1554,conductor_material;fire_resistance;voltage_rating,False,1.1kV 1C 150 sqmm Cu PVC armoured cable as per IS 1554
RFP_0004,ITEM_0004,FRLS 3.3kV EPR Copper 1C 50sqmm Armoured Power Cable,Power Cable,3.3kV,Copper,1.0,50.0,EPR,PVC,90C,FRLS,Yes,IS 7098-1,temperature_rating,False,FRLS 3.3kV 1C 50 sqmm Cu EPR armoured cable as per IS 7098-1
RFP_0005,ITEM_0005,LSZH 500V PVC Copper 5C 2.5sqmm Armoured Control Cable,Control Cable,500V,Copper,5.0,2.5,PVC,HDPE,70C,LSZH,No,IEC 60502-1,standards_required,False,LSZH 500V 5C 2.5 sqmm Cu PVC armoured cable as per IEC 60502-1
RFP_0006,ITEM_0006,ZH 132kV XLPE Aluminium 1C 800sqmm Armoured Power Cable,Power Cable,132kV,Aluminium,1.0,800.0,XLPE,HDPE,90C,ZH,Yes,IEC 60840,core_count;standards_required;voltage_rating,False,ZH 132kV 1C 800 sqmm Al XLPE armoured cable as per IEC 60840
RFP_0007,ITEM_0007,1.1kV PVC Copper 5C 2.5sqmm Armoured Control Cable,Control Cable,1.1kV,Copper,5.0,2.5,PVC,LSZH,70C,Non-FR,No,BS 5308,conductor_material;insulation_type;size_sqmm;standards_required,False,1.1kV 5C 2.5 sqmm Cu PVC armoured cable as per BS 5308
RFP_0008,ITEM_0008,500V XLPE Copper 5C 2.5sqmm Armoured Control Cable,Control Cable,500V,Copper,5.0,2.5,XLPE,PVC,90C,Non-FR,Yes,IEC 60502-1,conductor_material,True,500V 5C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0009,ITEM_0009,LSZH 300V PVC Copper 12C 1.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,300V,Copper,12.0,1.5,PVC,HDPE,70C,LSZH,No,IEC 60502-1,conductor_material,False,LSZH 300V 12C 1.5 sqmm Cu PVC armoured cable as per IEC 60502-1
RFP_0010,ITEM_0010,FR 500V PVC Copper 4C 4sqmm Armoured Flexible Cable,Flexible Cable,500V,Copper,4.0,4.0,PVC,LSZH,70C,FR,No,IS 694,insulation_type,False,FR 500V 4C 4 sqmm Cu PVC armoured cable as per IS 694
